iter	Passed	Remaining
603	20369	13354
604	20395	13315
605	20420	13276
606	20446	13237
607	20471	13198
608	20497	13160
609	20526	13123
610	20552	13085
611	20579	13047
612	20606	13009
613	20631	12970
614	20657	12932
615	20687	12896
616	20719	12861
617	20750	12826
618	20777	12788
619	20804	12751
620	20831	12713
621	20857	12675
622	20883	12637
623	20909	12599
624	20935	12561
625	20961	12523
626	20988	12485
627	21013	12447
628	21039	12409
629	21065	12371
630	21093	12335
631	21120	12298
632	21146	12260
633	21172	12222
634	21199	12185
635	21226	12148
636	21253	12111
637	21281	12075
638	21311	12039
639	21341	12004
640	21370	11968
641	21397	11931
642	21450	11909
643	21483	11875
644	21511	11839
645	21537	11802
646	21563	11765
647	21590	11728
648	21617	11691
649	21642	11653
650	21668	11616
651	21693	11578
652	21725	11544
653	21765	11514
654	21793	11479
655	21819	11441
656	21844	11404
657	21870	11367
658	21895	11330
659	21922	11293
660	21948	11256
661	21973	11219
662	21999	11182
663	22024	11145
664	22050	11108
665	22075	11071
666	22101	11034
667	22126	10997
668	22152	10960
669	22178	10923
670	22203	10886
671	22228	10849
672	22253	10812
673	22279	10776
674	22305	10739
675	22330	10702
676	22356	10666
677	22381	10629
678	22407	10593
679	22432	10556
680	22458	10520
681	22485	10484
682	22512	10448
683	22537	10412
684	22563	10376
685	22589	10339
686	22614	10303
687	22640	10267
688	22665	10230
689	22692	10195
690	22720	10160
691	22750	10125
692	22788	10095
693	22817	10060
694	22842	10024
695	22868	9988
696	22893	9952
697	22919	9916
698	22945	9880
699	22970	9844
700	22996	9808
701	23021	9772
702	23047	9736
703	23072	9701
704	23098	9665
705	23123	9629
706	23149	9593
707	23174	9557
708	23200	9522
709	23225	9486
710	23251	9450
711	23278	9415
712	23303	9380
713	23329	9344
714	23355	9309
715	23380	9273
716	23406	9238
717	23433	9203
718	23459	9168
719	23487	9133
720	23514	9099
721	23540	9064
722	23567	9029
723	23594	8994
724	23620	8959
725	23647	8924
726	23675	8890
727	23702	8855
728	23728	8820
729	23753	8785
730	23782	8751
731	23817	8720
732	23847	8686
733	23873	8651
734	23898	8616
735	23924	8581
736	23950	8546
737	23977	8512
738	24003	8477
739	24029	8442
740	24056	8408
741	24082	8373
742	24107	8338
743	24133	8304
744	24159	8269
745	24184	8234
746	24210	8199
747	24237	8165
748	24264	8131
749	24289	8096
750	24315	8062
751	24341	8027
752	24367	7993
753	24394	7959
754	24420	7924
755	24448	7890
756	24474	7856
757	24501	7822
758	24527	7787
759	24552	7753
760	24577	7718
761	24603	7684
762	24634	7651
763	24662	7618
764	24688	7584
765	24714	7549
766	24740	7515
767	24765	7481
768	24790	7446
769	24823	7414
770	24856	7382
771	24883	7349
772	24909	7314
773	24935	7280
774	24966	7248
775	24994	7214
776	25020	7180
777	25045	7146
778	25071	7112
779	25099	7079
780	25124	7045
781	25150	7011
782	25176	6977
783	25202	6943
784	25231	6910
785	25256	6876
786	25284	6843
787	25311	6809
788	25341	6777
789	25367	6743
790	25393	6709
791	25421	6676
792	25448	6642
793	25476	6609
794	25502	6576
795	25528	6542
796	25553	6508
797	25578	6474
798	25605	6441
799	25631	6407
800	25657	6374
801	25683	6340
802	25714	6308
803	25754	6278
804	25780	6244
805	25805	6211
806	25835	6178
807	25873	6148
808	25903	6115
809	25929	6082
810	25954	6048
811	25980	6015
812	26007	5982
813	26034	5948
814	26060	5915
815	26086	5882
816	26111	5848
817	26152	5818
818	26190	5788
819	26217	5754
820	26242	5721
821	26268	5688
822	26294	5655
823	26320	5621
824	26347	5588
825	26373	5555
826	26401	5522
827	26427	5489
828	26452	5456
829	26478	5423
830	26505	5390
831	26531	5357
832	26556	5324
833	26582	5291
834	26608	5257
835	26634	5224
836	26659	5191
837	26685	5158
838	26711	5125
839	26736	5092
840	26761	5059
841	26787	5026
842	26812	4993
843	26837	4960
844	26870	4928
845	26908	4898
846	26933	4865
847	26959	4832
848	26984	4799
849	27010	4766
850	27036	4733
851	27061	4700
852	27087	4668
853	27112	4635
854	27138	4602
855	27166	4570
856	27192	4537
857	27217	4504
858	27243	4471
