iter	RMSE
964	74.80451916
965	74.77766157
966	74.76859176
967	74.74879806
968	74.73068604
969	74.72170908
970	74.68633854
971	74.66058212
972	74.63627785
973	74.62735851
974	74.60417986
975	74.59531425
976	74.57088016
977	74.54851811
978	74.53824166
979	74.4485628
980	74.4396967
981	74.39696886
982	74.37782577
983	74.34972266
984	74.34091256
985	74.31591811
986	74.29249431
987	74.27180179
988	74.20212817
989	74.1933664
990	74.18465429
991	74.16477995
992	74.14763612
993	74.13897469
994	74.11609377
995	74.10745722
996	74.08786918
997	74.07926395
998	74.05006056
999	74.04147394
